id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
119,New Zealand,New Zealand,88.3915312,94.43,92.3189682,91.67913977,603.7208757,89.44493625,404.2508243,77.7919553,87.08138736,93.26656063,35.67554703,96.68836461,9.970157916,97.87152844,171.8708888,79.39182175,30.06474998,98.69273666,1372.650241,29.99364767,97.72678874,0.02216266,99.99602114,42408.96414,84.36386459,80.16304348,90.4109589,98.62825789,,88.86,Oceania,Australia and New Zealand,Developed,Western Pacific,4598066,6,0.2,20-24%,0.15,15-19%,1.9997E+11,3,NZL,Member body,Full Member,1.75,0.917,5.25,15,100,,88.86
120,Nicaragua,Nicaragua,30.2918444,60.0233333,89.6400145,54.62388457,766.8443637,84.45528629,147.2949104,94.038854,219.2517851,80.39820567,28.99757463,98.02604728,15.64200793,96.39462844,113.455374,88.78601703,164.0263811,90.28023265,1625.512253,50.90916086,95.76118933,119.0906953,78.61966996,1824.988076,33.08082825,17.11956522,31.73515982,39.23182442,100,60.07,Americas,Central America,Developing,Americas,6262000,6,0.32,30-34%,0.05,5-9%,11805641287,7,NIC,Non Member,Non Member,-0.82,0.484,2.93,3,20,1,60.07
121,Niger,Niger,14.4399126,65.2883333,75.6267534,41.46597369,1159.064931,72.45797456,297.2471814,84.55761918,493.3374202,53.71272009,242.4509895,55.26861774,100.5788781,74.27781247,298.4705267,59.03247499,116.5234409,93.26331573,2834.882667,121.1263802,89.16231109,6.082918493,98.90793479,418.492422,9.073162359,,34.24657534,0,,83.91,Africa,Western Africa,Least Developed,Africa,18884462,3,0.52,45%+,0.04,1-4%,8168695870,8,NER,Correspondent member,Affiliate Country,-0.71,0.198,,7,46.66666667,,83.91
122,Nigeria,Nigeria,31.4920439,50.8233333,62.6298558,46.45314638,3527.887923,0,466.5876541,73.85050035,390.2988132,63.7447499,307.9388514,42.1505674,161.1607147,58.50283362,311.4233699,56.94944039,138.9348461,91.8559274,5548.923388,233.7593017,78.57728734,10.93191379,98.03739558,2979.834679,41.07367376,26.35869565,27.39726027,31.13854595,,34.98,Africa,Western Africa,Developing,Africa,181839400,1,0.43,40-45%,0.03,1-4%,5.68508E+11,2,NGA,Member body,Associate Member,-1.01,0.425,3.27,10,66.66666667,,34.98
123,Norway,Norway,95.1745171,97.215,91.6353961,94.64675777,275.3951213,99.48782221,812.2047873,51.99769897,68.10681568,95.11396011,50.2723653,93.76443655,9.964199916,97.87307985,102.0158967,90.625677,30.87737073,98.64170582,1384.282959,35.44446848,97.21453116,0.001933229,99.99965293,102832.2587,98.80330792,91.30434783,92.92237443,97.66803841,,94.43,Europe,Northern Europe,Developed,European,5194411,6,0.18,15-19%,0.16,15-19%,4.99817E+11,2,NOR,Member body,Full Member,1.86,0.91,5.66,15,100,,94.43
124,Oman,Oman,60.5414514,71.3739682,86.2947596,71.97677188,2548.605711,29.95445664,139.1248513,94.55543336,229.3228382,79.41766927,38.42225049,96.13816502,13.44983002,96.96545234,151.3700782,82.6886962,12.80150062,99.77683181,3167.833468,33.27599145,97.41832043,1.460417059,99.7378116,20011.34778,72.1199781,59.23913043,55.25114155,55.55555556,71.42857138,69.36,Asia,Western Asia,Developing,Eastern Mediterrainian,4201000,6,0.22,20-24%,0.03,1-4%,81796618986,4,OMN,Member body,Full Member,0.21,0.603,4.48,11,73.33333333,0.818181818,69.36
125,Pakistan,Pakistan,27.9790608,50.357619,69.4223124,46.07504822,1144.637036,72.89929755,341.5280542,81.75781262,361.5287291,66.54585862,204.8918006,62.79220022,342.8168776,11.20116219,139.498245,84.59788625,255.8772643,84.51219357,3182.046518,352.9235737,67.37845993,38.34493759,93.11594059,1281.987908,27.32354099,28.5326087,32.19178082,23.86831276,57.14285708,13.93,Asia,Southern Asia,Developing,Eastern Mediterrainian,199047300,1,0.36,35-39%,0.04,1-4%,2.43632E+11,3,PAK,Member body,Full Member,-0.8,0.372,3.35,12,80,0.727272727,13.93
126,Panama,Panama,58.8918082,53.3442857,89.5794417,65.53154113,988.9801608,77.66055744,173.9750941,92.35190998,300.6781611,72.47038274,34.79379009,96.86499172,19.71570694,95.33387295,134.1612719,85.4561611,144.1190768,91.5303688,1859.336976,61.90504186,94.72781773,1.008672603,99.8189132,11206.42471,62.66779987,52.17391304,57.76255708,62.96296296,37.14285711,62.89,Americas,Central America,Developing,Americas,3980000,7,0.28,25-29%,0.08,5-9%,46212600000,5,PAN,Member body,Affiliate Country,0.32,0.657,4.22,9,60,0.6,62.89
127,Papua New Guinea,Papua New Guinea,31.36702,62.1933333,93.0510305,56.62124666,1088.919454,74.60359675,53.01527293,100,95.87606895,92.41029413,70.59522776,89.69350913,12.6892474,97.16350139,89.80270808,92.58976273,87.09253676,95.11151358,1535.454199,24.16562451,98.27449506,13.29805845,97.61260208,2108.831643,35.4374751,,34.24657534,24.4170096,,77.72,Oceania,Melanesia,Developing,Western Pacific,7744600,5,0.39,35-39%,0.03,1-4%,16928577232,6,PNG,Correspondent member,Affiliate Country,-0.71,0.376,,7,46.66666667,,77.72
128,Paraguay,Paraguay,40.1209812,62.1933333,88.6255257,60.47252015,1222.145628,70.5284511,177.5153106,92.12806793,194.0623627,82.85069454,73.77344328,89.0568722,13.41839837,96.97363687,120.5144072,87.65080601,116.5181552,93.26364766,2080.430028,161.3344208,85.38363733,1.147902228,99.79391733,4469.245274,47.6817728,29.07608696,30.3652968,53.36076818,,77.72,Americas,South America,Developing,Americas,7020000,5,0.33,30-34%,0.05,5-9%,30880859580,5,PRY,Correspondent member,Affiliate Country,-0.88,0.587,3.37,7,46.66666667,,77.72
