id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
1,Afghanistan,Afghanistan,19.0883318,48.0795238,46.4030808,34.92140025,2597.76584,28.45073796,831.8815464,50.75356994,1045.018781,0,286.1044756,46.52427014,141.5772786,63.6021886,447.0774644,35.13398504,53.67289355,97.21019572,6495.524743,1069.883022,0,22.5434415,95.9527802,661.969562,16.54868281,NULL,17.80821918,22.90809328,71.42857138,32.81,Asia,Southern Asia,Least Developed,Eastern Mediterrainian,32247000,2,0.45,40-45%,0.02,1-4%,20038215159,6,AFG,Member body,Affiliate Country,-1.43,0.365,NULL,6,40,0.818181818,32.81
2,Albania,Albania,46.5860299,44.615,82.8714868,55.63916149,564.9972171,90.62942234,775.9649158,54.28908628,169.1526632,85.27594906,42.387168,95.3439417,41.00448121,89.79046287,295.2977611,59.54270896,18.52894411,99.41716061,2215.542119,307.9050339,71.60921508,0.303934236,99.94543474,4458.073207,47.64097026,39.40217391,42.92237443,56.37860082,,49.23,Europe,Southern Europe,Developed,European,2892000,7,0.19,15-19%,0.12,10-14%,13211513726,7,ALB,Correspondent member,Associate Member,-0.33,0.609,3.75,6,40,,49.23
3,Algeria,Algeria,40.4803283,46.4216667,89.8991554,55.28069005,1180.474503,71.8030948,148.8943779,93.9377223,218.8364244,80.43864596,117.4153736,80.31483937,45.64123312,88.58309334,43.72395285,100,13.84074318,99.7115696,1833.217056,62.16009201,94.70384862,2.230355462,99.5995847,5504.181309,51.0773201,13.04347826,36.75799087,61.04252401,,19.51,Africa,Northern Africa,Developing,Africa,39948000,2,0.28,25-29%,0.06,5-9%,2.13518E+11,3,DZA,Member body,Full Member,-0.6,0.643,2.78,11,73.33333333,,19.51
4,Andorra,Andorra,78.216777,9.135,92.7819355,40.47224531,278.1710539,99.40291149,794.4330965,53.12137367,22.60904943,99.54370699,32.84717309,97.25492382,6.545712101,98.76322409,85.23335194,93.32459189,30.53382463,98.66327978,1309.771444,59.39818262,94.96340751,0,100,42806.52255,84.5159754,,85.38812785,64.74622771,,18.27,Europe,Southern Europe,Developed,European,78000,10,0.15,15-19%,0.18,15-19%,3249100675,9,AND,Non Member,Non Member,1.53,0.67,,0,0,,18.27
5,Angola,Angola,36.6653074,27.8833333,57.6515557,38.91679057,1873.397982,50.60782948,350.0497097,81.2190024,845.0630538,19.46806031,495.5552723,4.568615846,148.5462509,61.78752934,431.8114143,37.58902213,348.4863023,78.69654399,4658.114277,164.1224109,85.12162743,1.081881233,99.80577007,5295.210896,50.44634211,,21.68949772,37.8600823,,29.1,Africa,Middle Africa,Least Developed,Africa,25000000,3,0.47,45%+,0.02,1-4%,1.38357E+11,3,AGO,Correspondent member,Affiliate Country,-1.26,0.474,,4,26.66666667,,29.1
6,Antigua and Barbuda,Antigua and Barbuda,64.3940499,58.0016667,89.5568823,69.41634238,719.3688042,85.90747706,200.3753706,90.68266403,207.2692443,81.56484806,71.88486396,89.43517862,16.11159929,96.27235097,198.2927922,75.14273619,104.6906451,94.00639001,1593.676078,70.62477793,93.90835383,5.057980753,99.09194167,13342.085,65.51148052,,61.41552511,66.25514403,,82.67,Americas,Caribbean,Developing,Americas,90000,10,0.24,20-24%,0.08,5-9%,1220976011,10,ATG,Subscriber member,Affiliate Country,0.48,0.681,,5,33.33333333,,82.67
7,Argentina,Argentina,55.7206192,91.8422222,86.2177945,76.12928345,852.8305655,81.82512522,347.0991122,81.40556381,126.9528004,89.38460594,81.10684242,87.58789923,37.5433761,90.69170428,271.6309315,63.3487324,155.8189714,90.79564043,1969.617889,90.28758244,92.06048156,6.347706921,98.86039737,14623.47869,67.00646858,31.79347826,43.83561644,80.24691358,100,88.86,Americas,South America,Developing,Americas,42426000,2,0.24,20-24%,0.11,10-14%,5.3766E+11,2,ARG,Member body,Full Member,-0.29,0.783,3.47,13,86.66666667,1,88.86
8,Armenia,Armenia,51.0898215,43.6865079,85.751691,57.62905122,855.5652595,81.74147592,567.0398417,67.49907418,219.0746966,80.41544734,98.40209341,84.12344083,26.22968036,93.63769141,155.6704213,81.99712885,44.04898303,97.81455673,2136.367213,170.3215017,84.53904888,0.014735896,99.99735447,3486.145636,43.63195006,39.67391304,52.05479452,68.99862826,57.14285708,27.25,Asia,Western Asia,Developing,European,3017106,7,0.19,15-19%,0.11,10-14%,11644438423,7,ARM,Member body,Affiliate Country,0.07,0.701,3.76,7,46.66666667,0.727272727,27.25
9,Australia,Australia,89.952941,96.08,93.6603912,93.19689491,483.721891,93.11548632,398.7442534,78.1401267,60.40566137,95.86375877,34.26695475,96.97052353,12.86007204,97.11902015,131.795989,85.83653829,43.05164808,97.87718723,1191.70605,26.85440931,98.02180828,0.005170585,99.99907173,67473.0338,91.93405915,80.43478261,87.44292237,100,100,88.24,Oceania,Australia and New Zealand,Developed,Western Pacific,23888000,3,0.19,15-19%,0.15,15-19%,1.45468E+12,1,AUS,Member body,Full Member,1.62,0.927,5.26,15,100,1,88.24
10,Austria,Austria,83.8587506,100,90.9013768,91.34952279,412.3017618,95.3000978,896.178622,46.68817188,30.85513653,98.74085266,25.94965161,98.63658496,7.395253325,98.54201101,132.0887262,85.78946124,40.56396338,98.03340851,1589.625729,44.27863009,96.38431376,0.013983699,99.99748951,50513.38542,87.21475933,80.16304348,86.30136986,81.7558299,,100,Europe,Western Europe,Developed,European,8615955,5,0.14,10-14%,0.18,15-19%,4.36888E+11,2,AUT,Member body,Full Member,1.57,0.794,5.25,15,100,,100
11,Azerbaijan,Azerbaijan,53.6963365,41.98,83.4986763,57.30892039,700.5246963,86.48388395,570.844869,67.25848858,256.3984004,76.78154234,192.6266063,65.24907439,43.11820701,89.24006721,190.1743445,76.44831885,28.55683736,98.78743035,2080.777411,97.99260736,91.33637824,0.540842465,99.90290265,7811.621418,56.78477143,49.18478261,39.9543379,68.86145405,,43.96,Asia,Western Asia,Developing,European,9651000,5,0.22,20-24%,0.06,5-9%,75198010965,4,AZE,Member body,Affiliate Country,-0.46,0.7,4.11,6,40,,43.96
12,Bahamas,Bahamas,71.5899702,57.5483333,87.4744409,71.16318366,916.6020638,79.87447141,225.4720085,89.095845,245.8532192,77.80824073,78.05088299,88.20004671,18.22327608,95.72248886,230.6824992,69.93392764,109.1941132,93.72358184,1904.503269,79.53728641,93.07077355,0.887919731,99.84059194,22315.60365,73.89669325,,70.0913242,70.781893,,68.43,Americas,Caribbean,Developing,Americas,377000,9,0.26,25-29%,0.07,5-9%,8510500000,8,BHS,Correspondent member,Affiliate Country,0.86,0.714,,7,46.66666667,,68.43
13,Bahrain,Bahrain,69.6422186,44.9433333,96.3148684,67.05179435,718.6299305,85.93007786,83.90257189,98.04704702,51.97718288,96.68437107,44.12258054,94.99631653,5.999453747,98.90546497,61.92439413,97.07306355,9.247746087,100,1032.711382,56.90752232,95.19747494,0,100,24378.94483,75.33835136,68.75,63.69863014,70.781893,,23.22,Asia,Western Asia,Developing,Eastern Mediterrainian,1412299,8,0.21,20-24%,0.02,1-4%,33851063830,5,BHR,Member body,Associate Member,0.58,0.714,4.83,10,66.66666667,,23.22
14,Bangladesh,Bangladesh,28.3511282,33.31,83.1881128,42.82875173,473.7697016,93.41990564,321.6762669,83.01300839,968.6436359,7.436025724,61.64969703,91.48541253,14.8232624,96.6078226,78.86301465,94.34904905,45.82419361,97.7030773,2113.852101,126.3764711,88.66891772,22.22585797,96.00979591,954.3963997,22.51297452,25,31.73515982,34.1563786,,26.62,Asia,Southern Asia,Least Developed,South-East Asia,160411000,1,0.33,30-34%,0.05,5-9%,1.72887E+11,3,BGD,Member body,Affiliate Country,-0.82,0.447,3.22,6,40,,26.62
15,Barbados,Barbados,70.6812632,55.85,89.6518401,70.7341104,692.1138708,86.74115576,239.6365374,88.2002452,177.1899406,84.49342483,71.62711945,89.48680812,13.70597742,96.89875381,205.5814253,73.97060165,103.4450907,94.08460816,1580,80.33262312,92.99602935,0.028216559,99.99493429,15153.82138,67.58722191,59.51086957,81.27853881,74.3484225,,51.7,Americas,Caribbean,Developing,Americas,278000,9,0.2,20-24%,0.13,10-14%,4354500000,8,BRB,Member body,Affiliate Country,1.35,0.74,4.49,9,60,,51.7
16,Belarus,Belarus,56.9715707,50.4533333,67.7170012,57.95380096,1306.281889,67.95487634,784.0900426,53.77534791,573.0414834,45.95258473,316.989486,40.33761036,152.7187096,60.7010577,220.5641382,71.56112993,231.5395194,86.04055191,3770.541721,185.3164424,83.12985341,0.0000104,99.99999813,7722.123351,56.59691901,,28.99543379,85.3223594,,14.24,Europe,Eastern Europe,Developed,European,9524247,5,0.16,15-19%,0.14,10-14%,76139250365,4,BLR,Member body,Full Member,-0.94,0.82,,13,86.66666667,,14.24
17,Belgium,Belgium,83.2710464,86.5233333,86.6488114,85.46663883,801.3041142,83.40122538,1025.704331,38.4984749,30.47091374,98.7782613,48.90494028,94.03834914,17.92216144,95.80089647,165.9720727,80.34045039,86.25960267,95.16382006,2248.114464,71.56342495,93.8201416,0.012903054,99.99768352,46927.24898,86.01427247,76.08695652,86.75799087,84.22496571,100,79.57,Europe,Western Europe,Developed,European,11211064,4,0.17,15-19%,0.18,15-19%,5.31547E+11,2,BEL,Member body,Non Member,1.59,0.812,5.1,12,80,1,79.57
18,Belize,Belize,54.0133252,31.9783333,85.0215537,52.75884249,1083.572247,74.76715806,186.1164909,91.58422948,317.7768653,70.8056212,95.27711708,84.74941327,25.76935961,93.7575549,260.4074754,65.15365253,157.8674228,90.66700206,2198.304832,70.17278988,93.95083079,1.345064278,99.75852086,4719.137955,48.56871651,,46.11872146,67.35253772,,57.29,Americas,Central America,Developing,Americas,368000,9,0.36,35-39%,0.04,1-4%,1699154132,9,BLZ,Non Member,Affiliate Country,-0.19,0.689,,1,6.666666667,,57.29
19,Benin,Benin,26.3672943,85.3822222,85.2478714,57.68180668,1291.055506,68.42062362,260.1099958,86.90574219,267.7938804,75.67205728,101.8454164,83.43369951,44.58424513,88.85832374,199.4964014,74.94917563,74.86154536,95.87959369,2318.355139,78.06502879,93.20913347,0.543119859,99.90249379,804.7892605,19.73348244,18.20652174,37.89954338,29.62962963,100,89.48,Africa,Western Africa,Least Developed,Africa,10583034,4,0.45,40-45%,0.03,1-4%,9575356735,7,BEN,Member body,Associate Member,-0.55,0.414,2.97,10,66.66666667,1,89.48
20,Bhutan,Bhutan,42.180158,57.6083333,67.8005716,54.82041127,1011.158167,76.98217268,333.0486929,82.29394865,291.6918843,73.34530331,391.9753303,25.31699354,385.8335424,0,153.0848059,82.4129392,119.7951977,93.0578564,2933.750302,241.0642333,77.89078402,6.098448509,98.90514669,2360.421517,37.27482595,,58.67579909,30.58984911,,88.55,Asia,Southern Asia,Least Developed,South-East Asia,757000,8,0.31,30-34%,0.05,5-9%,1958803867,9,BTN,Correspondent member,Affiliate Country,0.36,0.421,,4,26.66666667,,88.55
21,Bolivia (Plurinational State of),Bolivia,41.6950988,41.1333333,62.8427443,47.58952295,1595.58646,59.10557721,211.4557417,89.98207044,503.7526397,52.69867501,108.1873513,82.16332942,234.9060017,39.30020774,289.5135787,60.47290257,1601.658649,0,4734.800993,179.7799823,83.6501592,9.960588325,98.21177746,2942.438536,40.86779162,19.29347826,41.32420091,65.29492455,,35.6,Americas,South America,Developing,Americas,10475500,5,0.31,30-34%,0.06,5-9%,32996187988,5,BOL,Correspondent member,Affiliate Country,-0.4,0.674,3.01,7,46.66666667,,35.6
22,Bosnia and Herzegovina,Bosnia and Herzegovina,48.0065095,53.3333333,89.3306997,61.15517282,261.8741774,99.90140322,865.6957114,48.61555605,21.61457247,99.64053111,23.03701177,99.22002371,75.90527328,80.70260275,157.8141306,81.65238441,15.14759979,99.6295018,1484.110996,62.92310275,94.63214234,0.099416862,99.98215171,4668.804076,48.39390554,40.76086957,40.1826484,62.68861454,,,Europe,Southern Europe,Developed,European,3650114,7,0.15,15-19%,0.16,15-19%,18286273233,6,BIH,Member body,Associate Member,-0.45,0.655,3.8,8,53.33333333,,
23,Botswana,Botswana,50.4820516,54.835,83.913616,61.47177592,1043.613489,75.98942358,254.4015838,87.26667567,193.4911214,82.90631165,160.0787449,71.76882434,47.77024936,88.02871619,278.2182248,62.28938507,113.4239387,93.45795784,2165.479044,74.12355534,93.57954551,0.358136475,99.93570383,6882.259587,54.71985283,32.60869565,56.84931507,57.75034294,,69.67,Africa,Southern Africa,Developing,Africa,2139900,7,0.33,30-34%,0.05,5-9%,15813364345,6,BWA,Member body,Affiliate Country,0.28,0.619,3.5,6,40,,69.67
24,Brazil,Brazil,55.2270218,90.3033333,89.6242966,76.45872563,1172.745051,72.03952464,302.2025343,84.24430039,199.6850605,82.30325825,39.07146062,96.00811999,9.076713689,98.10417348,105.1171748,90.12693942,87.9328015,95.05874676,2041.40597,125.4510894,88.7558833,0.12408408,99.97772321,11711.06334,63.38585567,45.38043478,48.63013699,63.51165981,100,70.91,Americas,South America,Developing,Americas,204519398,1,0.24,20-24%,0.07,5-9%,2.34608E+12,1,BRA,Member body,Full Member,-0.08,0.661,3.97,15,100,1,70.91
25,Brunei Darussalam,Brunei Darussalam,67.5253713,35.8733333,92.596862,60.75914598,692.7303859,86.72229769,242.8616423,87.99632714,191.9138622,83.05987653,44.0605498,95.00874207,5.389424972,99.06431112,127.1380774,86.58560866,59.99618224,96.81310671,1389.883861,25.79373665,98.12148824,0,100,39152.30848,83.06131784,49.18478261,70.0913242,67.76406036,,25.08,Asia,South-Eastern Asia,Developing,Western Pacific,413000,9,0.25,25-29%,0.05,5-9%,17104656669,6,BRN,Correspondent member,Affiliate Country,0.86,0.692,4.11,7,46.66666667,,25.08
26,Bulgaria,Bulgaria,57.0614729,73.685,83.0110539,70.40756602,538.1067228,91.45195351,1146.186627,30.880578,120.121767,90.04968802,58.24083436,92.16825101,34.81681424,91.40167707,255.5203048,65.9395916,63.69238218,96.58099326,2343.506509,126.8165658,88.62755847,0.0044911,99.99919371,7498.831484,56.11857904,42.66304348,53.88127854,75.5829904,,47.37,Europe,Eastern Europe,Developed,European,7181000,5,0.14,10-14%,0.2,20-26%,56717054674,4,BGR,Member body,Full Member,0.15,0.749,3.87,15,100,,47.37
27,Burkina Faso,Burkina Faso,18.6767425,67.7633333,76.9599446,46.01013909,1684.597251,56.38289947,288.4517866,85.11373749,499.7775115,53.08570086,214.4930054,60.86895698,59.25660962,85.03776873,245.9627264,67.47661063,102.4735603,94.14561819,3201.51604,106.4063018,90.54567554,0.097287962,99.98253391,709.7828128,17.68558481,13.58695652,36.30136986,7.133058985,,88.86,Africa,Western Africa,Least Developed,Africa,18450400,3,0.45,40-45%,0.02,1-4%,12542221942,7,BFA,Correspondent member,Affiliate Country,-0.62,0.25,2.8,7,46.66666667,,88.86
28,Burundi,Burundi,12.7238072,21.0733333,75.5167422,27.25615063,1060.869217,75.46160234,172.0245637,92.4752388,449.2721477,58.00299672,288.5652816,46.03133945,67.59674389,82.86607092,441.992832,35.95167927,59.74899732,96.8286294,2630.586331,90.4482733,92.04538014,0.06827432,99.98774272,259.3652026,1.273867284,0,26.02739726,23.59396433,,15.48,Africa,Eastern Africa,Least Developed,Africa,10742000,4,0.46,45%+,0.03,1-4%,3093647227,9,BDI,Correspondent member,Affiliate Country,-1.07,0.37,2.3,4,26.66666667,,15.48
29,Cabo Verde,Cabo Verde,44.1922679,38.55,87.3249463,52.98704087,387.3740616,96.06259068,435.595035,75.81011255,236.7542383,78.69413438,78.51788626,88.10650002,42.71132471,89.34601579,134.3969369,85.41826221,69.24637156,96.2322146,1642.817376,257.9446329,76.30439677,0.276889196,99.95029013,3623.224045,44.26068311,40.2173913,53.19634703,39.09465021,,77.1,Africa,Western Africa,Developing,Africa,514000,9,0.31,30-34%,0.06,5-9%,1871187071,9,CPV,Non Member,Non Member,0.12,0.483,3.78,0,0,,77.1
30,Cambodia,Cambodia,30.4720797,31.2883333,82.6679532,42.87530639,1368.110389,66.0636553,168.1035424,92.72315851,546.8018397,48.50732509,118.6298283,80.07156867,36.39077645,90.99183112,172.0580142,79.36172884,85.27693152,95.22552971,2589.129743,85.95592652,92.46756219,7.802495219,98.59921951,1009.909922,23.43465362,28.26086957,29.45205479,40.74074074,,35.91,Asia,South-Eastern Asia,Least Developed,Western Pacific,15417100,4,0.31,30-34%,0.06,5-9%,16777820333,6,KHM,Correspondent member,Affiliate Country,-0.92,0.495,3.34,4,26.66666667,,35.91
31,Cameroon,Cameroon,28.9821896,27.8914286,72.4304685,38.83062812,2548.033611,29.97195614,355.3989355,80.88077967,438.6975621,59.03255798,220.5650728,59.65264477,65.0291576,83.53464787,261.2215863,65.02272983,212.7920741,87.21785139,4249.611458,146.8492414,86.74492643,1.024217347,99.81612245,1331.200021,27.9376242,17.66304348,30.82191781,39.50617284,5.71428566,17.96,Africa,Middle Africa,Developing,Africa,23739000,3,0.43,40-45%,0.03,1-4%,32050817633,5,CMR,Member body,Affiliate Country,-0.86,0.486,2.95,9,60,0.4,17.96
32,Canada,Canada,88.3535702,96.2866667,92.6972127,92.38872571,528.6446607,91.74138073,510.0907774,71.0998696,52.59313688,96.62440064,43.49378969,95.12227132,14.32804576,96.73677267,125.6478492,86.82526237,57.69226751,96.95778763,1347.14409,14.63893917,99.16979449,0.01462382,99.99737459,52305.25839,87.78302815,85.32608696,90.86757991,89.43758573,100,88.86,Americas,North America,Developed,Americas,35833000,2,0.16,15-19%,0.16,15-19%,1.78539E+12,1,CAN,Member body,Full Member,1.77,0.85,5.44,15,100,1,88.86
33,Central African Republic,Central African Republic,10.4581533,45.4383333,59.3134637,30.43291555,1878.298281,50.45793827,322.7902251,82.94257465,729.5013158,30.71936537,517.7154719,0.129646465,181.3741297,53.23943765,439.8891554,36.28998578,147.5713875,91.31357107,4342.878332,125.7356568,88.72914021,0.002708681,99.99951371,327.8989609,5.096203004,,9.817351598,16.46090535,,84.21,Africa,Middle Africa,Least Developed,Africa,5551900,6,0.45,40-45%,0.03,1-4%,1722529061,9,CAF,Non Member,Affiliate Country,-1.78,0.318,,1,6.666666667,,84.21
34,Chad,Chad,13.3613094,42.1933333,67.7035656,33.66935521,2099.961241,43.67767264,335.629103,82.13079358,523.7099612,50.75559319,348.4589534,34.03387643,118.8119562,69.53007887,357.5879707,49.52539771,144.0083636,91.53732135,4059.5359,130.6853298,88.26397953,0.683020978,99.87737737,985.0952473,23.02908769,6.25,16.21004566,7.956104252,,77.72,Africa,Middle Africa,Least Developed,Africa,13707000,4,0.48,45%+,0.02,1-4%,13922224561,7,TCD,Non Member,Affiliate Country,-1.5,0.256,2.53,1,6.666666667,,77.72
35,Chile,Chile,71.150716,61.8846032,89.7413054,73.38119097,720.9557834,85.85893426,353.5246508,80.9992876,135.2068899,88.58097248,88.85062961,86.03672032,13.74588038,96.88836343,180.7783854,77.95934678,50.59302011,97.40360519,1613.526975,69.46724435,94.0171366,0.404491245,99.92738176,15741.71166,68.20770152,62.22826087,78.99543379,75.17146776,52.85714283,46.13,Americas,South America,Developing,Americas,18025000,3,0.21,20-24%,0.1,10-14%,2.58062E+11,3,CHL,Member body,Full Member,1.25,0.746,4.59,13,86.66666667,0.7,46.13
36,China,China,52.0689349,76.1666667,85.4932786,69.73088953,1131.418397,73.3036316,312.9379613,83.56551705,253.551118,77.05875903,28.79555459,98.06651446,79.8851565,79.66627606,221.7253779,71.37438309,32.29534563,98.55266003,2176.893248,95.6466386,91.55684784,20.63769854,96.29491788,6991.853866,54.97740558,47.01086957,49.7716895,56.51577503,100,28.5,Asia,Eastern Asia,Developing,Western Pacific,1371920000,1,0.17,15-19%,0.1,10-14%,1.03548E+13,1,CHN,Member body,Full Member,-0.03,0.61,4.03,15,100,1,28.5
37,Colombia,Colombia,51.9420982,80.6433333,89.1170997,72.00284684,1191.777467,71.45735775,201.1965795,90.63074035,223.7031306,79.96481442,43.11744095,95.19765875,15.5675246,96.41402325,149.6636199,82.96312334,137.0882846,91.97188751,2035.984441,72.12823243,93.76706209,1.742160754,99.68723021,8027.97816,57.2301484,43.75,51.36986301,55.41838134,,74.62,Americas,South America,Developing,Americas,48218000,2,0.27,25-29%,0.07,5-9%,3.7774E+11,2,COL,Member body,Full Member,0.04,0.602,3.91,13,86.66666667,,74.62
38,Comoros,Comoros,24.0821811,49.9283333,81.7485186,46.1502714,1527.927576,61.17513906,174.8725055,92.29516814,246.5759666,77.7378727,143.37401,75.11499486,41.84923021,89.57049764,376.3560367,46.50717767,56.86705454,97.00960924,2611.300841,41.92028958,96.60594604,1.558172114,99.72026165,823.0241627,20.0987335,,17.57990868,34.56790123,,93.19,Africa,Eastern Africa,Least Developed,Africa,764000,8,0.41,40-45%,0.03,1-4%,623751050,10,COM,Non Member,Affiliate Country,-1.44,0.45,,1,6.666666667,,93.19
39,Congo,Congo,35.933929,51.2633333,77.4739746,52.25836221,1244.540036,69.843447,280.1210694,85.640475,426.8116976,60.18978778,246.4474367,54.46807862,71.31719057,81.89729924,276.6267331,62.54532365,160.8620907,90.47894332,2795.388991,88.53691209,92.22500617,0.125824768,99.9774107,3205.457783,42.26351926,,22.60273973,42.93552812,,75.86,Africa,Middle Africa,Developing,Africa,4755000,6,0.41,40-45%,0.03,1-4%,14177440495,7,COG,Member body,Affiliate Country,-1.22,0.511,,4,26.66666667,,75.86
40,Costa Rica,Costa Rica,58.8892412,69.33,93.5632801,72.55837243,796.6801341,83.5426645,172.6689531,92.43449512,176.4425809,84.56618916,31.33455166,97.5579211,9.663150997,97.95147035,92.17372854,92.20846284,40.57959699,98.03242675,1370.074472,50.28907223,95.81946406,0.242703868,99.95642742,10461.57682,61.54657068,50.27173913,61.18721461,62.55144033,100,47.99,Americas,Central America,Developing,Americas,4832000,6,0.23,20-24%,0.07,5-9%,49552580683,5,CRI,Member body,Affiliate Country,0.47,0.654,4.15,9,60,1,47.99
41,Côte d'Ivoire,Ivory Coast,27.4041747,60,75.5297025,49.89173236,2034.234176,45.68814367,350.1672412,81.21157107,411.6747482,61.66354924,192.1811153,65.33831189,74.62071928,81.03708934,276.2738467,62.60207371,128.9866927,92.48065016,3582.97512,114.7491403,89.76163174,0.08743999,99.98430192,1447.222711,29.29992102,,26.71232877,26.20027435,,,Africa,Western Africa,Developing,Africa,23281300,3,0.41,40-45%,0.03,1-4%,34253607832,5,CIV,Member body,Affiliate Country,-1.04,0.389,,9,60,,
42,Croatia,Croatia,65.3275073,88.55,88.6394619,80.03941785,797.698578,83.51151216,860.6497824,48.93460182,75.67638623,94.37697269,31.79343205,97.46600153,18.15491231,95.74029018,144.108358,83.8565027,35.19609322,98.37049928,2016.969075,53.68065062,95.50073009,0.010882721,99.99804623,13597.92145,65.82111712,50.81521739,66.21004566,78.46364883,,77.1,Europe,Southern Europe,Developed,European,4215000,6,0.15,15-19%,0.18,15-19%,57113389357,4,HRV,Member body,Full Member,0.69,0.77,4.17,15,100,,77.1
43,Cuba,Cuba,56.5567936,40,91.021709,59.05136199,640.2367599,88.32798196,426.3792463,76.39281167,114.3551718,90.61113442,41.19062037,95.58362538,10.2890814,97.78848356,146.3657189,83.49348117,44.6639309,97.77593932,1540,120.1505554,89.25401722,0.178766012,99.96790617,6789.849597,54.49947671,,40.4109589,74.75994513,,0,Americas,Caribbean,Developing,Americas,11139000,4,0.17,15-19%,0.13,10-14%,77149700000,4,CUB,Member body,Associate Member,-0.44,0.743,,12,80,,0
44,Cyprus,Cyprus,75.0843297,83.5255556,91.5827212,83.12418654,608.5288117,89.29787026,595.39499,65.70622491,85.00676975,93.46854925,20.89405862,99.64928444,7.921311588,98.40503005,153.4166607,82.35957138,28.10320144,98.81591772,1541.866051,42.60022211,96.54204729,0.0000254,99.99999544,27910.61983,77.54382517,62.22826087,81.27853881,79.2866941,100,83.91,Asia,Western Asia,Developing,European,1153000,8,0.17,15-19%,0.12,10-14%,23226158986,6,CYP,Member body,Associate Member,1.35,0.776,4.59,10,66.66666667,1,83.91
45,Czech Republic,Czech Republic,72.6742281,82.67,80.1622735,78.3849701,661.7200573,87.67084708,1533.495994,6.391645432,76.18444021,94.32750761,41.19683202,95.58238111,29.30212443,92.83765393,251.8858908,66.52406637,81.56164686,95.45884164,2865.539454,190.1445924,82.67611322,0.047875737,99.99140488,19858.34346,71.99485501,56.52173913,70.54794521,91.63237311,,65.34,Europe,Eastern Europe,Developed,European,10551227,4,0.15,15-19%,0.17,15-19%,2.0527E+11,3,CZE,Member body,Full Member,0.88,0.866,4.38,15,100,,65.34
46,Democratic People's Republic of Korea,North Korea,6.3926941,46.6666667,78.3116059,28.58724332,1337.446803,67.00159846,342.4101232,81.70204085,362.7718377,66.42482727,57.45728888,92.32520512,105.5252634,72.98981713,210.4581219,73.18634698,26.76061025,98.90022957,2781.542352,146.5523541,86.77282732,192.1599492,65.5015606,,,,6.392694064,,,,Asia,Eastern Asia,Developing,South-East Asia,24983000,3,0.22,20-24%,0.1,10-14%,0,,PRK,Member body,Associate Member,-1.93,,,7,46.66666667,,
47,Democratic Republic of the Congo,Democratic Republic of the Congo,15.6362824,56.315,61.6558353,37.86552011,1101.4021,74.22177538,305.2706549,84.05030819,871.2646116,16.91702807,513.9689673,0.880118911,167.0938395,56.95789996,394.6715219,43.56174023,144.5567021,91.50288686,3644.377115,146.1487171,86.81076035,0,100,413.6970577,8.88528316,,14.15525114,23.86831276,,52.63,Africa,Middle Africa,Least Developed,Africa,73340200,1,0.46,45%+,0.03,1-4%,33121070959,5,COD,Non Member,Affiliate Country,-1.59,0.372,,9,60,,52.63
48,Denmark,Denmark,91.7819806,100,91.6610213,94.40189357,361.1220288,96.86559248,787.7068555,53.5466628,31.77099366,98.65168311,54.05887537,93.0059505,13.84207734,96.86331458,103.4620404,90.39311282,33.89822531,98.45200261,1421.767545,35.903618,97.17138117,0.002830223,99.99949189,59818.63153,89.97110522,89.13043478,95.43378995,92.59259259,,100,Europe,Northern Europe,Developed,European,5676025,6,0.17,15-19%,0.19,15-19%,3.42362E+11,2,DNK,Member body,Full Member,1.97,0.873,5.58,15,100,,100
49,Djibouti,Djibouti,23.3685948,9.755,83.889403,26.74169874,1136.145521,73.1590375,212.7117778,89.90265335,269.9864875,75.45858098,168.6396939,70.05395754,49.16705898,87.66499921,237.0810887,68.90492705,83.25132581,95.35273342,2214.270973,49.64377188,95.88010813,7.644247313,98.62762972,1684.503796,31.77498776,,23.51598174,14.81481481,,19.51,Africa,Eastern Africa,Least Developed,Eastern Mediterrainian,900000,8,0.34,30-34%,0.04,1-4%,1589026158,9,DJI,Non Member,Non Member,-1.18,0.306,,0,0,,19.51
